title,name,nationality,birthDate,deathDate,production_id
Joy of the Waters,Harriet Whitney Frishmuth,American,1880,1980,a3e12351ac04
Concave or Standing Woman,Alexander Archipenko,American,1887,1964,7b4575969392
Henry Look Unhitching,Thomas Hart Benton,American,1889,1975,14cc1ab260cc
"New York, New Haven and Hartford",Edward Hopper,American,1882,1967,ef08e7b2b3d5
Afternoon - Yellow Room,Frederick Carl Frieseke,American,1874,1939,c2deceef4e9d
"Washington Street, Indianapolis at Dusk",Theodor Groll,German,1857,1913,6efd18d7cd10
Herman and Verman,Hugh M. Poe,American,1902,1973,ea5c3c1fca54
A Summer Day,John Henry Twachtman,American,1853,1902,7e0fda3755f3
At the End of the Porch,John Sharman,American,1879,1971,01dc7f144a3a
Pioneer's House,Daniel Garber,American,1880,1958,f5e3b4d3ac06
Quarry at Byram,Daniel Garber,American,1880,1958,f1add46af387
Edna Smith in a Japanese Wrap,Robert Henri,American,1865,1929,68fa7777fe44
The Robe,Frederick Carl Frieseke,American,1874,1939,4b5856ec10d2
Tidying Up,Isabel Bishop,American,1902,1988,40eed3f84bf6
Cliff Rock - Appledore,Childe Hassam,American,1859,1935,3fc25bd5ae24
Portrait of William Merritt Chase,James Carroll Beckwith,American,1852,1917,488b4c5c42aa
Little Brown Girl,John W. Hardrick,American,1891,1968,b1d837dc0fdb
Monday Morning,Edmund Brucker,American,1912,1999,5750b5344241
Still Life,Julian Alden Weir,American,1852,1919,a94c8c4cf513
Red Kimono on the Roof,John Sloan,American,1871,1951,0e76adf5aae1
Portrait of Mrs. Addison C. Harris,Cecilia Beaux,American,1855,1942,76a75b0e048d
Bronco Buster,Frederic Remington,American,1861,1909,b89506ba7200
Poppies,Robert William Vonnoh,American,1858,1933,98a9eb06d775
Across the Harbor,Arthur Bowen Davies,American,1862,1928,599d0e28d8bf
Winter Landscape,Rockwell Kent,American,1882,1971,638fbb586f77
Preparing for the Matinee,Edmund Charles Tarbell,American,1862,1938,eb8c93e25592
The Love Song,Norman Rockwell,American,1894,1978,99a96195e1c3
The Artist's Party,Joseph Delaney,American,1904,1991,d790024f59fb
Training for War,William H. Johnson,American,1901,1970,46473fa9f8f6
Girl Sweeping,William McGregor Paxton,American,1869,1941,a95011f81f8c
Gamin,Augusta Savage,American,1892,1962,7bfea982781c
The Blue Tiger,Horace Pippin,American,1888,1946,ce05eff8eeab
Early Morning Sunshine,Louis Ritman,American,1889,1963,e2a0ba0128dd
Sunlight,Frank Weston Benson,American,1862,1951,47f3990339a3
"Rainy Night, Etaples",William Edouard Scott,American,1884,1964,5a69fd2f009b
Mushrooms on a Blue Background,Marsden Hartley,American,1877,1943,e037dcaa3392
Above the Clouds,Ralph Albert Blakelock,American,1847,1919,640966f1a904
Wash Day,John Ottis Adams,American,1851,1927,300d384fffd3
Portrait of Clara Fisher,Henry Inman,American,1801,1846,6faa7bcee7e1
Diana,Augustus Saint-Gaudens,American,1848,1907,07811da1a759
"The Consecration, 1861",George Cochran Lambdin,American,1830,1896,0de9a2e5e7b4
Portrait of Robert Louis Stevenson,Augustus Saint-Gaudens,American,1848,1907,6903bf4488a0
Pool in the Adirondacks,Ralph Albert Blakelock,American,1847,1919,068eaa9f8a8e
Mountains and Valleys,Victor Higgins,American,1884,1949,490fbcb619bd
Dorothy,William Merritt Chase,American,1849,1916,6692b8de6c8c
The Young Artist,Thomas Mickell Burnham,American,1818,1866,9e8b7f777554
Summer Pastorale (View of Kallenfels),Worthington Whittredge,American,1820,1910,72282c1889f4
Girl at the Piano: Recording Sound,Theodore Roszak,American,1907,1981,81e07b38eb29
Morning at Grand Manan,Alfred Thompson Bricher,American,1837,1908,4b8e152d2f48
The Flight of Europa,Paul Manship,American,1885,1966,0419f95b23e4
Woodcutters in Windsor Park,Benjamin West,American,1738,1820,30deba4b3f95
The Olive Grove,John Singer Sargent,American,1856,1925,8c6f322021a0
Woman in White,Ruth P. Bobbs,American,1884,1973,e908444a53c5
Souvenir of the Columbian Exposition,Jacob Atkinson,American,1864,1938,f86b6edcca38
"Rondout, New York",Leon Dabo,American,1868,1960,f4f0df289aa5
Polling Landscape,Frank Duveneck,American,1848,1919,ccadbd50263a
Pelvis with Distance,Georgia O'Keeffe,American,1887,1986,b03ac7d04e8c
Grey Hills,Georgia O'Keeffe,American,1887,1986,7bbb73946e06
The Pioneers,Joshua Shaw,American,1776,1861,6bc8db7b3029
Ruth Gleaning,Randolph Rogers,American,1825,1892,3fea680c08be
Still Life with Fish,William Merritt Chase,American,1849,1916,9ae4152628cc
Loch Long,Robert Scott Duncanson,American,1821,1872,82cc4ece3fe4
Louisa Fletcher,Mary S. Blumenschein,American,1869,1958,cbc7264f42ff
"Orange Road, Tarpon Springs",George Inness,American,1825,1894,28bf9d0635b6
Study of a Young Woman,William Merritt Chase,American,1849,1916,a553920a6b86
Still Life with Hummingbird,William Merritt Chase,American,1849,1916,8d030834fd46
After the Shower,William Merritt Chase,American,1849,1916,552e5eef711f
The Valley in the Sea,Edward Moran,American,1829,1901,7ac839f54d96
Portrait of a Family,Gilbert Stuart,American,1755,1828,b7566baa4809
The Rainbow,George Inness,American,1825,1894,e8899cb2095e
Portrait of a German Tragedian,Ernest Leonard Blumenschein,American,1874,1960,1a1c193321cd
Our Flag,Frederic Edwin Church,American,1826,1900,57b84f694958
November Morning,Dwight William Tryon,American,1849,1925,dc98d053dc7b
Hurricane,John Marin,American,1870,1953,0b382ce2c555
Whaler and Fishing Vessels near the Coast of Labrador,William Bradford,American,1823,1892,b414a7205426
Margaret MacKittrick,Abbott Handerson Thayer,American,1849,1921,91fd0dfb9138
Seated Nude,David K. Rubins,American,1902,1985,6ea31c2878eb
The Bloom of the Grape,T.C. Steele,American,1847,1926,6bc1c9efa00d
"Chinese Fishing Village, Monterey Bay, California",Bolton Coit Brown,American,1864,1936,756cab0deaa0
Still Life,Abbott Handerson Thayer,American,1849,1921,74f9be36a8a8
Melons,Marsden Hartley,American,1877,1943,0aff8262e31c
Marianne Ashley Walker,Gilbert Stuart,American,1755,1828,7825ceb4dc93
"Summer, Lake Ontario",Jasper Francis Cropsey,American,1823,1900,95fe3ea3966d
Green Apples with Gray Curtain,Walt Kuhn,American,1880,1949,558ab9c9fbc7
New York,John Bradley Storrs,American,1885,1956,a58a9658eaeb
Landscape with Covered Wagon,Asher Brown Durand,American,1796,1886,2ddc0d9e66dc
The Boat Builders,Winslow Homer,American,1836,1910,919a481ee0e2
Jimson Weed,Georgia O'Keeffe,American,1887,1986,cec6a8b4979b
He Is Risen (The Passion of Christ Series),Romare Howard Bearden,American,1914,1988,6a742d1bbd83
U.S.A.,John Haberle,American,1856,1933,73f1700ae7b5
George Washington at Princeton,Charles Willson Peale,American,1741,1827,cbfd3ea9dbe9
Reflections,Arthur Garfield Dove,American,1880,1946,c1fc2b4f27ec
Landscape,Worthington Whittredge,American,1820,1910,7d612fa96244
Portrait of Dr. George Henry Alexander Clowes,Pietro Pezzati,American,1902,1993,891776732d62
Scene on the Wabash,George Winter,American,1810,1876,bcad6120828d
Nymph and Fawn,Isidore Konti,American,1862,1938,02c596c8a42c
Stumbling Man,David K. Rubins,American,1902,1985,51df33e3d9b1
"Sundial, Boy with Spider",Willard D. Paddock,American,1873,1956,194a48578897
Sunlit Window,Louis Ritman,American,1889,1963,482f515e24b1
"Glimpse of the Harbor, Gloucester",Maurice Brazil Prendergast,American,1859,1934,2677e0f55656
New Year's Shooter,George Benjamin Luks,American,1866,1933,ef49672b4b0d
Portrait of a Boy,George Wesley Bellows,American,1882,1925,1d35b53b9acf
First Touch of Autumn,William Merritt Chase,American,1849,1916,01151273e3e1
New Mexico Calvary (Holy Week Procession),Victor Higgins,American,1884,1949,c2c2cb6a5d14
Portrait of Mrs. Robert Reid,Robert Reid,American,1862,1929,c5e20dccd0b8
Brook in Summer,Jacob Cox,American,1810,1892,6031d718c61f
Calypso,George Hitchcock,American,1850,1913,6d081dbd3ab2
Portrait of Charles H. Brewer (Boy Fishing with Dog),Jacob Cox,American,1810,1892,08017528f9e2
Alaska,Albert Bierstadt,American,1830,1902,ecd0e5a1e4d6
His Majesty Receives,William Holbrook Beard,American,1824,1900,055d3313275b
Lake Shawangunk,Worthington Whittredge,American,1820,1910,8c0cba4b17d4
Pleasant Run,T.C. Steele,American,1847,1926,e206ea0a3e7f
Portrait of James Whitcomb Riley,John Singer Sargent,American,1856,1925,39c1e628f9d7
The Harbor Light,Birge Harrison,American,1854,1929,8cdd0469c336
The Pianist (Stanley Addicks),Thomas Eakins,American,1844,1916,3c3c67b3f300
An August Sunset - Prairie Dell,John Ottis Adams,American,1851,1927,319178474b18
Old Market Woman,William J. Forsyth,American,1854,1935,df71240db899
Landscape near Dachau,Joseph Frank Currier,American,1843,1909,ffd02c63dbb6
Frog Fountain,Janet Scudder,American,1873,1940,dbc272091d35
Crocuses,William J. Forsyth,American,1854,1935,05c1d4a4be91
Portrait of Edith Whitehill Clowes,Pietro Pezzati,American,1902,1993,eca22a1f81fd
Landscape,William M. Hart,American,1823,1894,28528e226b4c
Portrait Medallion (Louise Hartshorne Moore),Janet Scudder,American,1873,1940,beac5376e63b
Wyoming Desert,Wilhelm J. Riess,American,1856,1919,87ea48ed32ea
Portrait of Jules Bastien-Lepage,Augustus Saint-Gaudens,American,1848,1907,2d7696091609
On the Balcony,Olive Rush,American,1873,1966,87378ba1f68c
Fruit Still Life,Jacob Cox,American,1810,1892,ea8535f91353
Portrait of Evans Woolen,David K. Rubins,American,1902,1985,7de3f3bff505
Reclining Nude,Frank Duveneck,American,1848,1919,2a223eab892d
"Bust of Horace A. Shonle, Jr.",Elmer H. Daniels,American,1905,1986,6a81b06c3031
Plaster Cast of Bronze Bust of Evans Woolen,David K. Rubins,American,1902,1985,692f01cc2d6d
Scene in Switzerland,James F. Gookins,American,1840,1904,4fdb7a1e335b
Rocky Mountain Scene,Clifton A. Wheeler,American,1883,1953,81980a459ccc
"Toledo Spain, Afternoon Sun",Anna Richards Brewster,American,1870,1952,ac302ed8453b
Running for Anchorage,Henry Chase,American,1853,1889,27227e1d90e3
Hill and Hollow,Lewis H. Meakin,American,1850,1917,5c438661b794
Riverboat,Donald Mattison,American,1905,1975,1314ed358c43
Portrait of Caroline Marmon Fesler,David K. Rubins,American,1902,1985,8e83c67e307e
Study Head (Old Man),Samuel G. Richards,American,1853,1893,b363c09bd485
Old Peasant Woman,Samuel G. Richards,American,1853,1893,b59ec56ea861
Study Head (Bearded Man),Samuel G. Richards,American,1853,1893,72696f3e853d
"Chief Flat Iron, Sioux",Joseph Henry Sharp,American,1859,1953,563c5316f375
On The Brandywine,Alexander Theobald van Laer,American,1857,1920,f6f6c5ff2517
Street Scene,Eugene Paul Ullman,American,1877,1953,b9b72b3381ba
Munich Girl,T.C. Steele,American,1847,1926,3ae6bd2f3bd5
Scene on the Wabash (near Pipe Creek),George Winter,American,1810,1876,775e7a990d19
Monarch Beech,John Elwood Bundy,American,1853,1933,0e215f409dae
Apache,Bert Greer Phillips,American,1868,1956,f0c279176f34
Study of a Hat,Susan Merrill Ketcham,American,1841,1930,c27aeb3b53ce
Family Picnic,John R. Grabach,American,1886,1981,644a4a730c1f
Portrait of Edward Loftus,Gilbert Stuart,American,1755,1828,8c64b49a9643
Portrait of Booth Tarkington,Louis Betts,American,1873,1961,67d5f5d92c7e
In the Meadow,George Inness,American,1825,1894,1bc4e3e198e1
Portrait of William Henry Harrison,Samuel Finley Breese Morse,American,1791,1872,45d4f681ce4b
December Mists,Henry R. MacGinnis,American,1875,1962,99b728575194
Vice-Admiral Edward Hughes,Gilbert Stuart,American,1755,1828,d8d91db6de3f
Thornberry's Pasture,John Ottis Adams,American,1851,1927,700cc7211225
A Young Woman,Willard LeRoy Metcalf,American,1858,1925,c6a461190128
Circus Poster,Robert Weaver,American,1924,1994,67471a09f1b8
Blanche Sully,Thomas Sully,American,1783,1872,7991029c3acf
Landscape near Lafayette,George Winter,American,1810,1876,5abfda536a57
Portrait of Joel Barlow,Robert Fulton,American,1765,1815,6e994c6a1c82
"Late Afternoon, Dachau Moor",T.C. Steele,American,1847,1926,dfff5858c3b1
Portrait of Thomas Lakin,T.C. Steele,American,1847,1926,97abea3198d9
Education of Trooper Brown,Newell Convers Wyeth,American,1882,1945,6f4400c19e19
Carnival,Donald Mattison,American,1905,1975,a1d7d5e0b8ff
"Portrait of Martha Wysor Marsh and Son, John Edwin",John Ottis Adams,American,1851,1927,6ce9ef4a57d1
A Summer Morning,Otto Stark,American,1859,1926,1392837ae23d
Study for Indian in Buffalo Hunt by Indians,Charles Ferdinand Wimar,American,1828,1862,15e26015be26
"Hanging Moss, St. Petersburg",John Ottis Adams,American,1851,1927,ab935868b6ed
A Night in Central Park,Orlando Rouland,American,1871,1945,ec8508a7900d
Figure Study (Old Man),John Ottis Adams,American,1851,1927,09d546f55a28
Saco Valley,George Inness,American,1825,1894,dfed7b55a4b0
Untitled,Albert Bierstadt,American,1830,1902,c82be74a1cff
Will-O-The-Wisp,George Jo Mess,American,1898,1962,36a114a04554
Portrait of Reverend Nathaniel A. Hyde,T.C. Steele,American,1847,1926,8e2c4c554ead
Young Girl with Child,Elizabeth Jane Gardner Bouguereau,American,1837,1922,f660b07db334
In the Studio,William Majors,American,1930,1982,5cb5857f922f
Reading (Lady on a Deck Chair),Blanche Stillson,American,1890,1977,b11ff926c330
Landscape with Cows and Hillside,Richard Buckner Gruelle,American,1851,1914,01cec418f239
Gray Day in Normandy,George Ames Aldrich,American,1872,1941,21f4bd11ab55
Portrait of Alexander Ernestinoff,Wayman Adams,American,1883,1959,895a5df3eb7f
Portrait of Anton Scherrer,Wayman Adams,American,1883,1959,aca146182098
Woman in White,William Merritt Chase,American,1849,1916,c8090116d050
"The Artist's Mother, Sarah Swaim Chase",William Merritt Chase,American,1849,1916,14ae3d345607
"Portrait of My Father, David H. Chase",William Merritt Chase,American,1849,1916,c286be359253
Moses Swaim,William Merritt Chase,American,1849,1916,84fc2867c33e
The Temple of Philae,Franklin D. Briscoe,American,1844,1903,8aa45eb8fb03
Halloween Carnival,Henrik Martin Mayer,American,1909,1972,fb5ebe00ae3c
Crest of the Wave,Harriet Whitney Frishmuth,American,1880,1980,3f0a009d7138
Out of Work,Ellen M. Ingraham,American,1832,1917,634f7982f47c
Jacob and His Sheep,Helen West Heller,American,1870,1955,83148939916b
Jacob's Angel,Helen West Heller,American,1870,1955,d868676c1a2d
Baseball,Helen West Heller,American,1870,1955,1663657a7db8
Borzois and I,Helen West Heller,American,1870,1955,9d69ea5b49ed
Untitled Landscape,John W. Hardrick,American,1891,1968,228d9c6f117a
Winter Landscape,John W. Hardrick,American,1891,1968,7084ba3a7a85
"Henry James, Sr.",Frank Duveneck,American,1848,1919,1f9a7f6b2a66
Portrait of Squire Duveneck,Frank Duveneck,American,1848,1919,c352ea3ac3e2
The Painter Man,William J. Forsyth,American,1854,1935,d5dffc005c9f
Portia in a Pink Blouse,Guy Pène Du Bois,American,1884,1958,70b5eaf00e38
The Black Barn,Charles Ephraim Burchfield,American,1893,1967,4f5ea89dc3d5
The Family Cow,William Merritt Chase,American,1849,1916,7078781ee3d8
Still Life: Brass Bowl,William Merritt Chase,American,1849,1916,e0b8c47b7116
Red Snapper,William Merritt Chase,American,1849,1916,20868c0dd9ea
Still Life - Brass Kettle and Catfish,William Merritt Chase,American,1849,1916,b20c12d2c412
The Art Jury,Wayman Adams,American,1883,1959,8f16928e0ce9
Morning--Old Schofield's Mill,T.C. Steele,American,1847,1926,21d47f2aa17b
First Snow of Winter,C. C. Bohm,American,1894,1971,750bfda6fb59
Portrait of Madame Fisher,Eugene Paul Ullman,American,1877,1953,1137f9982870
Portrait of Dr. Charles G. McLean,Jacob Cox,American,1810,1892,19306801fced
Waiting and Mad,Charles Marion Russell,American,1864,1926,d657a8ba7138
Francisco Martinez,Joseph Henry Sharp,American,1859,1953,d0285c9b7f6e
Bethlehem,Lauren Ford,American,1891,1973,108f165f9a40
Mountain Man,Frederic Remington,American,1861,1909,ec64e8b52933
The Electric Forest,David Alfaro Siqueiros,Mexican,1896,1974,ca32fc710ce9
Whitewater Rapids,William J. Forsyth,American,1854,1935,d3931799fb9f
The Constitutional Elm,William J. Forsyth,American,1854,1935,46dab1830f10
The Restless Sea,Edgar Alwin Payne,American,1883,1947,e662eb30ff86
In the Catskills,Clifton A. Wheeler,American,1883,1953,69d5b8c60688
The Sycamores (Broad Ripple),John Washington Love,American,1850,1880,3d660e946222
Temperance Pledge,John G. Dunn,American,1820,1858,4f2f17bd7ed6
Landscape near Indianapolis,Jacob Cox,American,1810,1892,55c1379b3b51
Young German Girl (Gretchen?),Samuel G. Richards,American,1853,1893,a3ab39f9c94b
Old Johnnie's Wife,Robert Henri,American,1865,1929,f5cc6244f1de
Portrait of the Artist's Wife,James F. Gookins,American,1840,1904,96d853c60f9b
Portrait of Dr. Lewis D. Lyons,Barton Stone Hays,American,1826,1914,891406e06a7e
Oaks at Vernon,T.C. Steele,American,1847,1926,3c8d609fc1d6
Road in Early Spring,Charles Ephraim Burchfield,American,1893,1967,852df8810994
Bust of President Benjamin Harrison,Adolph Alexander Weinman,American,1870,1952,b496c88beabe
The Bacidae,Sarah Paxton Ball Dodson,American,1847,1906,d24a75c3ace7
The Jade Bowl,Dines Carlsen,American,1901,1966,bfc7f3dfb90e
Portrait of Helen Miller (Mrs. Charles G. McLean),Rembrandt Peale,American,1778,1860,6e1d18b1fad2
Indian Hunter with Dog,Paul Manship,American,1885,1966,ada860a530e3
Liberty Loan Parade,Arthur Clifton Goodwin,American,1864,1929,06df1c559c44
Untitled,Alexander Calder,American,1898,1976,ae7377f39b03
Portrait of a Young Woman,Edward August Bell,American,1862,1953,c99b4901b016
A Break: Playing Cards,Julian Scott,American,1846,1901,a27139e710ef
Portrait of a Young Woman,Gilbert Stuart,American,1755,1828,97a4196b1cfb
Venus Anadyomene,Paul Manship,American,1885,1966,35d22791c388
An Anxious Mother,Percival De Luce,American,1847,1914,2538e1496a08
Untitled (The Birth),Jacob Lawrence,American,1917,2000,f415f124d75e
Afternoon Tea,Richard Emile Miller,American,1875,1943,bb671ff98b20
"Rooftops, New York City",Edward F. Fisk,American,1886,1944,6ae7931e339c
The Statuette,Edward August Bell,American,1862,1953,1bc6541875b7
Blue Monday,Floyd D. Hopper,American,1909,1984,6c6477b45524
"The Park, Salem",Maurice Brazil Prendergast,American,1859,1934,084398a33bbb
Praying Angel,Robert W. Davidson,American,1904,1982,962a972ed8ce
Thames Nocturne,James Abbott McNeill Whistler,American,1834,1903,59521fc3b2ae
"Sketch, Hyannisport",Charles Webster Hawthorne,American,1872,1930,37194dbd6e1f
Young Girls,Mary Cassatt,American,1845,1926,3aaa6db4265b
Hauptmann Must Die,Reginald Marsh,American,1898,1954,27a0dcfc3eb5
Indian Girl with Parrot and Hoop,Victor Higgins,American,1884,1949,35a09d1cc0da
Hotel Lobby,Edward Hopper,American,1882,1967,add5ab6fa8b5
Portrait of Marie Jane Andrew,Joseph R. Mason,American,1808,1842,1eb24e9da467
Portrait Medallion,Janet Scudder,American,1873,1940,6620a7daf592
A Winter Morning,Frank T. Hutchens,American,1869,1937,8405f57879e2
"Barnes Cabin on Owl Creek, Brown County",John William Vawter,American,1871,1914,a161f604654d
Diana,Edward F. McCartan,American,1879,1947,b95b454a03fa
Zinnias and Leaves,Leota Williams Loop,American,1893,1961,b720cfdd12b0
Fisherman's Lore,George Jo Mess,American,1898,1962,125d219881e4
Young Brittany Girl,Charles Sprague Pearce,American,1851,1914,0686906d0b3c
Weathervane: Goddess of Liberty,Henry Leach,American,1809,1885,f2d033daf868
Portrait of Mary Ethell Gertrude Walker,John Ottis Adams,American,1851,1927,b22a83e3ba97
Women Dressing,William McGregor Paxton,American,1869,1941,871f2ab223e5
Reclining Nude,David K. Rubins,American,1902,1985,72a3d43c896c
Seascape,James Abbott McNeill Whistler,American,1834,1903,f11537df39e2
The Elopement,Emery D. Horsky,American,1885,1964,fbff3d88c552
Portrait Medallion (Mildred Barnes),Janet Scudder,American,1873,1940,3299beffa9a1
Portrait Medallion (Alice Jones),Janet Scudder,American,1873,1940,27fed5419122
Medal: Admission of Indiana to the Union,Janet Scudder,American,1873,1940,39bd5a16f929
Marine,Frank Duveneck,American,1848,1919,c98435d1f083
General Lew Wallace,Stephen Seymour Thomas,American,1868,1956,de97fa464d2e
Head of a Boy,John Washington Love,American,1850,1880,b73b6ec27478
"Vista Terreno, Palm de Malloria",William J. Potter,American,1883,1964,0a2ce5e38fc3
Portrait of Ella Marvin,James Ormsbee Chapin,American,1887,1975,82c3df97fb50
Landscape: The River,Willard LeRoy Metcalf,American,1858,1925,1dc46f085dde
Farmyard Scene,Jacob Cox,American,1810,1892,2233e63ac401
Portrait of Amelia Studley,Joseph Easton,American,1829,1875,5e6b6684ed04
Children's Heads,Mary Cassatt,American,1845,1926,9a00c699c5b9
Harp of Mystery,Adolph Robert Shulz,american,1869,1963,6037b3e7b82c
Daybreak,Emanuel Glicen Romano,American,1897,1984,f7b9631e31b0
Marie and Baby,Robert Henri,American,1865,1929,a8b797a2ff69
"The Beach Scituate, Massachusetts",Thomas Buford Meteyard,American,1865,1928,75844f6bc94b
"Summer Landscape Falls Village, Connecticut",Dines Carlsen,American,1901,1966,95075bd912da
Unfinished Landscape (American Lake Scene at Sunset),Thomas Cole,American,1801,1848,e92e6a442b9d
Landscape,Alexander Helwig Wyant,American,1836,1892,f0d3b7cb29cc
Strawberries,Barton Stone Hays,American,1826,1914,bcfb5a93e508
Portrait of Eusebia Sewell,Barton Stone Hays,American,1826,1914,db454821a2e7
Portrait of William Sewell,Barton Stone Hays,American,1826,1914,3d8ed0b7d469
Fairy Marauders,James F. Gookins,American,1840,1904,21656ea8641f
Across Silvery Waters,Frank V. Dudley,American,1868,1957,21e24705f4cb
Dionysus,Paul Manship,American,1885,1966,0cafb08e45e3
Snow Leopard,Malvina Hoffman,American,1887,1966,8b0146040d6c
Promenade,Alexander Archipenko,American,1887,1964,85da017dd38a
"Village of Schliersee, Highlands",T.C. Steele,American,1847,1926,9d49239aed2d
On the Edge of the Wood at Twilight,John Elwood Bundy,American,1853,1933,cdce5e4cfff1
The Red Maple,L. Clarence Ball,American,1858,1915,18062d64e1d9
Cows,William J. Forsyth,American,1854,1935,428c87336cde
Promenade,Guy Pène Du Bois,American,1884,1958,76d5e5f06e27
Nude Reaching,Isabel Bishop,American,1902,1988,5866c58da056
The Big Brass Bowl,William Merritt Chase,American,1849,1916,5e313115491e
Portrait of Catherine (Eddy) Beveridge - Lady Primrose Portrait,Cecilia Beaux,American,1855,1942,8f1bd2292e31
The Old Mills on the Somme,Walter Elmer Schofield,American,1867,1944,483e78eb0802
Seascape,C. C. Bohm,American,1894,1971,159ff93fefa1
The Visitor,Katherine H. Wagenhals,American,1883,1966,5bfeb4ee137e
Passing Shower,Louise D. Hibben,American,1895,1974,242607f85a81
The Whistling Boy,Joseph Frank Currier,American,1843,1909,f5af8cee9193
Head of Margot,Mary Cassatt,American,1845,1926,963e62c6dd57
Provincetown Fisherman,Charles Webster Hawthorne,American,1872,1930,32780a313efc
Bacchanal (The Four Seasons),Eugene Francis Savage,American,1883,1966,9edf00506bfc
"Glow of Gold, Gleam of Pearl",William McGregor Paxton,American,1869,1941,6602ebb72b2d
Portrait of Charles Ballard as a Boy,Ivan Gregorovitch Olinsky,American,1878,1962,7417674a0f03
Portrait of John Washington Love,Dewey Bates,American,1851,1899,017cbda8aac8
