title,name,nationality,birthDate,deathDate
Joy of the Waters,Harriet Whitney Frishmuth,American,1880,1980
Concave or Standing Woman,Alexander Archipenko,American,1887,1964
Henry Look Unhitching,Thomas Hart Benton,American,1889,1975
"New York, New Haven and Hartford",Edward Hopper,American,1882,1967
Afternoon - Yellow Room,Frederick Carl Frieseke,American,1874,1939
"Washington Street, Indianapolis at Dusk",Theodor Groll,German,1857,1913
Herman and Verman,Hugh M. Poe,American,1902,1973
A Summer Day,John Henry Twachtman,American,1853,1902
At the End of the Porch,John Sharman,American,1879,1971
Pioneer&#039;s House,Daniel Garber,American,1880,1958
Quarry at Byram,Daniel Garber,American,1880,1958
The Red Tam,Leon Kroll,,,
Edna Smith in a Japanese Wrap,Robert Henri,American,1865,1929
The Robe,Frederick Carl Frieseke,American,1874,1939
Tidying Up,Isabel Bishop,American,1902,1988
Cliff Rock - Appledore,Childe Hassam,American,1859,1935
Portrait of William Merritt Chase,James Carroll Beckwith,American,1852,1917
Little Brown Girl,John W. Hardrick,American,1891,1968
Monday Morning,Edmund Brucker,American,1912,1999
Still Life,Julian Alden Weir,American,1852,1919
Red Kimono on the Roof,John Sloan,American,1871,1951
Portrait of Mrs. Addison C. Harris,Cecilia Beaux,American,1855,1942
Bronco Buster,Frederic Remington,American,1861,1909
Poppies,Robert William Vonnoh,American,1858,1933
Across the Harbor,Arthur Bowen Davies,American,1862,1928
Winter Landscape,Rockwell Kent,American,1882,1971
Portrait of Reginald Marsh,Alexander Brook,American,1898,
Streetlight,Constance Richardson,American,1905,
Preparing for the Matinee,Edmund Charles Tarbell,American,1862,1938
The Love Song,Norman Rockwell,American,1894,1978
The Artist&#039;s Party,Joseph Delaney,American,1904,1991
Training for War,William H. Johnson,American,1901,1970
Girl Sweeping,William McGregor Paxton,American,1869,1941
Gamin,Augusta Savage,American,1892,1962
The Blue Tiger,Horace Pippin,American,1888,1946
Early Morning Sunshine,Louis Ritman,American,1889,1963
Sunlight,Frank Weston Benson,American,1862,1951
"Rainy Night, Etaples",William Edouard Scott,American,1884,1964
Mushrooms on a Blue Background,Marsden Hartley,American,1877,1943
Bacchante and Infant Faun,Frederick William MacMonnies,,,
Above the Clouds,Ralph Albert Blakelock,American,1847,1919
Wash Day,John Ottis Adams,American,1851,1927
Portrait of Clara Fisher,Henry Inman,American,1801,1846
Diana,Augustus Saint-Gaudens,American,1848,1907
"The Consecration, 1861",George Cochran Lambdin,American,1830,1896
Portrait of Robert Louis Stevenson,Augustus Saint-Gaudens,American,1848,1907
Pool in the Adirondacks,Ralph Albert Blakelock,American,1847,1919
Mountains and Valleys,Victor Higgins,American,1884,1949
Dorothy,William Merritt Chase,American,1849,1916
The Young Artist,Thomas Mickell Burnham,American,1818,1866
Summer Pastorale (View of Kallenfels),Worthington Whittredge,American,1820,1910
Girl at the Piano: Recording Sound,Theodore Roszak,American,1907,1981
Morning at Grand Manan,Alfred Thompson Bricher,American,1837,1908
The Flight of Europa,Paul Manship,American,1885,1966
Woodcutters in Windsor Park,Benjamin West,American,1738,1820
Ideal Head,William Morris Hunt,,,
The Olive Grove,John Singer Sargent,American,1856,1925
Portrait of Eliza C. Ayres,,,,
Woman in White,Ruth P. Bobbs,American,1884,1973
Souvenir of the Columbian Exposition,Jacob Atkinson,American,1864,1938
"Rondout, New York",Leon Dabo,American,1868,1960
Polling Landscape,Frank Duveneck,American,1848,1919
Portrait of Dr. James E. B. Finley,Samuel Finley Breese Morse,,,
Pelvis with Distance,Georgia O&#039;Keeffe,American,1887,1986
Grey Hills,Georgia O&#039;Keeffe,American,1887,1986
The Pioneers,Joshua Shaw,American,1776,1861
Ruth Gleaning,Randolph Rogers,American,1825,1892
Still Life with Fish,William Merritt Chase,American,1849,1916
Loch Long,Robert Scott Duncanson,American,1821,1872
Louisa Fletcher,Mary S. Blumenschein,American,1869,1958
Acrobat,Gaston Lachaise,,,
"Orange Road, Tarpon Springs",George Inness,American,1825,1894
Study of a Young Woman,William Merritt Chase,American,1849,1916
Still Life with Hummingbird,William Merritt Chase,American,1849,1916
After the Shower,William Merritt Chase,American,1849,1916
The Valley in the Sea,Edward Moran,American,1829,1901
Portrait of a Family,Gilbert Stuart,American,1755,1828
The Rainbow,George Inness,American,1825,1894
Portrait of a German Tragedian,Ernest Leonard Blumenschein,American,1874,1960
Portrait of Alice Lyons,John J. Hegler,,,
Our Flag,Frederic Edwin Church,American,1826,1900
November Morning,Dwight William Tryon,American,1849,1925
Hurricane,John Marin,American,1870,1953
Whaler and Fishing Vessels near the Coast of Labrador,William Bradford,American,1823,1892
Margaret MacKittrick,Abbott Handerson Thayer,American,1849,1921
Seated Nude,David K. Rubins,American,1902,1985
The Bloom of the Grape,T.C. Steele,American,1847,1926
"Chinese Fishing Village, Monterey Bay, California",Bolton Coit Brown,American,1864,1936
Still Life,Abbott Handerson Thayer,American,1849,1921
Melons,Marsden Hartley,American,1877,1943
Marianne Ashley Walker,Gilbert Stuart,American,1755,1828
"Summer, Lake Ontario",Jasper Francis Cropsey,American,1823,1900
Green Apples with Gray Curtain,Walt Kuhn,American,1880,1949
New York,John Bradley Storrs,American,1885,1956
Landscape with Covered Wagon,Asher Brown Durand,American,1796,1886
Temptation,Seymour Joseph Guy,,,
The Boat Builders,Winslow Homer,American,1836,1910
Jimson Weed,Georgia O&#039;Keeffe,American,1887,1986
He Is Risen (The Passion of Christ Series),Romare Howard Bearden,American,1914,1988
U.S.A.,John Haberle,American,1856,1933
Harmony in Pink and Gray: Lady Meux,,American,1834,1903
George Washington at Princeton,Charles Willson Peale,American,1741,1827
Reflections,Arthur Garfield Dove,American,1880,1946
Landscape,Worthington Whittredge,American,1820,1910
Portrait of Dr. George Henry Alexander Clowes,Pietro Pezzati,American,1902,1993
Scene on the Wabash,George Winter,American,1810,1876
Nymph and Fawn,Isidore Konti,American,1862,1938
Stumbling Man,David K. Rubins,American,1902,1985
Untitled,Jr. J. K. Lilly,,,
"Sundial, Boy with Spider",Willard D. Paddock,American,1873,1956
Sunlit Window,Louis Ritman,American,1889,1963
April,Ernest Lawson,,,
"Glimpse of the Harbor, Gloucester",Maurice Brazil Prendergast,American,1859,1934
Builders,Cecil F. Head,American,1906,
New Year&#039;s Shooter,George Benjamin Luks,American,1866,1933
Portrait of a Boy,George Wesley Bellows,American,1882,1925
First Touch of Autumn,William Merritt Chase,American,1849,1916
New Mexico Calvary (Holy Week Procession),Victor Higgins,American,1884,1949
Portrait of Mrs. Robert Reid,Robert Reid,American,1862,1929
Brook in Summer,Jacob Cox,American,1810,1892
Calypso,George Hitchcock,American,1850,1913
Portrait of Charles H. Brewer (Boy Fishing with Dog),Jacob Cox,American,1810,1892
Alaska,Albert Bierstadt,American,1830,1902
His Majesty Receives,William Holbrook Beard,American,1824,1900
Lake Shawangunk,Worthington Whittredge,American,1820,1910
Pleasant Run,T.C. Steele,American,1847,1926
Joan of Arc,Gari Melchers,,,
Portrait of James Whitcomb Riley,John Singer Sargent,American,1856,1925
The Harbor Light,Birge Harrison,American,1854,1929
The Pianist (Stanley Addicks),Thomas Eakins,American,1844,1916
An August Sunset - Prairie Dell,John Ottis Adams,American,1851,1927
Old Market Woman,William J. Forsyth,American,1854,1935
Landscape near Dachau,Joseph Frank Currier,American,1843,1909
Concretion,George Lovett Kingsland Morris,,,
Frog Fountain,Janet Scudder,American,1873,1940
Crocuses,William J. Forsyth,American,1854,1935
Portrait of Edith Whitehill Clowes,Pietro Pezzati,American,1902,1993
Landscape,William M. Hart,American,1823,1894
Portrait Medallion (Louise Hartshorne Moore),Janet Scudder,American,1873,1940
Wyoming Desert,Wilhelm J. Riess,American,1856,1919
Portrait of Jules Bastien-Lepage,Augustus Saint-Gaudens,American,1848,1907
On the Balcony,Olive Rush,American,1873,1966
Fruit Still Life,Jacob Cox,American,1810,1892
"Gramercy Park, New York",Felicie Howell,,1897,1968
Ice Bound Vessels,Frederick John Mulhaupt,,,
Portrait of Evans Woolen,David K. Rubins,American,1902,1985
Portrait of Paul Peckham,Lewis Peckham,,,
Self-Portrait,Lewis Peckham,,,
Portrait of William Forsyth,Forrest F. Stark,American,1903,
Reclining Nude,Frank Duveneck,American,1848,1919
"Bust of Horace A. Shonle, Jr.",Elmer H. Daniels,American,1905,1986
Ohio River Boat,,,,
Plaster Cast of Bronze Bust of Evans Woolen,David K. Rubins,American,1902,1985
Scene in Switzerland,James F. Gookins,American,1840,1904
Rocky Mountain Scene,Clifton A. Wheeler,American,1883,1953
Portrait of a Man,Anna Claypoole Peale,,,
"Toledo Spain, Afternoon Sun",Anna Richards Brewster,American,1870,1952
Running for Anchorage,Henry Chase,American,1853,1889
Hill and Hollow,Lewis H. Meakin,American,1850,1917
Portrait of Thomas Taggart Young,Lucy Martha Taggart,,,
Sea Gull,Gaston Lachaise,,,
Riverboat,Donald Mattison,American,1905,1975
Portrait of Caroline Marmon Fesler,David K. Rubins,American,1902,1985
Study Head (Old Man),Samuel G. Richards,American,1853,1893
Old Peasant Woman,Samuel G. Richards,American,1853,1893
Study Head (Bearded Man),Samuel G. Richards,American,1853,1893
"Chief Flat Iron, Sioux",Joseph Henry Sharp,American,1859,1953
On The Brandywine,Alexander Theobald van Laer,American,1857,1920
Street Scene,Eugene Paul Ullman,American,1877,1953
Munich Girl,T.C. Steele,American,1847,1926
Scene on the Wabash (near Pipe Creek),George Winter,American,1810,1876
Monarch Beech,John Elwood Bundy,American,1853,1933
Apache,Bert Greer Phillips,American,1868,1956
Study of a Hat,Susan Merrill Ketcham,American,1841,1930
Family Picnic,John R. Grabach,American,1886,1981
San Gimignano,Luigi Lucioni,American,1900,
Portrait of Edward Loftus,Gilbert Stuart,American,1755,1828
Portrait of Booth Tarkington,Louis Betts,American,1873,1961
In the Meadow,George Inness,American,1825,1894
Mixed Bouquet,Hobson Pittman,American,1899,
Portrait of William Henry Harrison,Samuel Finley Breese Morse,American,1791,1872
December Mists,Henry R. MacGinnis,American,1875,1962
Vice-Admiral Edward Hughes,Gilbert Stuart,American,1755,1828
Thornberry&#039;s Pasture,John Ottis Adams,American,1851,1927
A Young Woman,Willard LeRoy Metcalf,American,1858,1925
Circus Poster,Robert Weaver,American,1924,1994
Blanche Sully,Thomas Sully,American,1783,1872
Italian Roses,William Henry Hilliard,,,
Landscape near Lafayette,George Winter,American,1810,1876
Portrait of Joel Barlow,Robert Fulton,American,1765,1815
"Late Afternoon, Dachau Moor",T.C. Steele,American,1847,1926
Portrait of Thomas Lakin,T.C. Steele,American,1847,1926
Education of Trooper Brown,Newell Convers Wyeth,American,1882,1945
Carnival,Donald Mattison,American,1905,1975
"Portrait of Martha Wysor Marsh and Son, John Edwin",John Ottis Adams,American,1851,1927
A Summer Morning,Otto Stark,American,1859,1926
Study for Indian in Buffalo Hunt by Indians,Charles Ferdinand Wimar,American,1828,1862
Landscape with Farmhouse,,American,1825,1894
"Hanging Moss, St. Petersburg",John Ottis Adams,American,1851,1927
A Night in Central Park,Orlando Rouland,American,1871,1945
Figure Study (Old Man),John Ottis Adams,American,1851,1927
Hot Sun,Constance Richardson,American,1905,
Saco Valley,George Inness,American,1825,1894
Untitled,Albert Bierstadt,American,1830,1902
Will-O-The-Wisp,George Jo Mess,American,1898,1962
Portrait of Reverend Nathaniel A. Hyde,T.C. Steele,American,1847,1926
Young Girl with Child,Elizabeth Jane Gardner Bouguereau,American,1837,1922
Landscape with Figures,Thomas B. Glessing,,,
In the Studio,William Majors,American,1930,1982
Reading (Lady on a Deck Chair),Blanche Stillson,American,1890,1977
Portrait of Delight Sweetser,Virginia Keep Clark,,1878,1962
Landscape with Cows and Hillside,Richard Buckner Gruelle,American,1851,1914
Gray Day in Normandy,George Ames Aldrich,American,1872,1941
Portrait of Alexander Ernestinoff,Wayman Adams,American,1883,1959
Portrait of Anton Scherrer,Wayman Adams,American,1883,1959
Woman in White,William Merritt Chase,American,1849,1916
"The Artist&#039;s Mother, Sarah Swaim Chase",William Merritt Chase,American,1849,1916
"Portrait of My Father, David H. Chase",William Merritt Chase,American,1849,1916
Moses Swaim,William Merritt Chase,American,1849,1916
The Temple of Philae,Franklin D. Briscoe,American,1844,1903
Halloween Carnival,Henrik Martin Mayer,American,1909,1972
Sacred Waters,Eanger Irving Couse,,,
Indian Pueblos,Nicholai Fechin,,,
Crest of the Wave,Harriet Whitney Frishmuth,American,1880,1980
Out of Work,Ellen M. Ingraham,American,1832,1917
Jacob and His Sheep,Helen West Heller,American,1870,1955
Jacob&#039;s Angel,Helen West Heller,American,1870,1955
Baseball,Helen West Heller,American,1870,1955
Borzois and I,Helen West Heller,American,1870,1955
Untitled Landscape,John W. Hardrick,American,1891,1968
Winter Landscape,John W. Hardrick,American,1891,1968
"Henry James, Sr.",Frank Duveneck,American,1848,1919
Portrait of Squire Duveneck,Frank Duveneck,American,1848,1919
Mirror III,George Tooker,American,1920,
The Edge of Town,Grant Wright Christian,,,
The Painter Man,William J. Forsyth,American,1854,1935
Portia in a Pink Blouse,Guy Pène Du Bois,American,1884,1958
The Black Barn,Charles Ephraim Burchfield,American,1893,1967
From Mount Kearsarge,Andrew Newell Wyeth,American,1917,
The Family Cow,William Merritt Chase,American,1849,1916
Still Life: Brass Bowl,William Merritt Chase,American,1849,1916
Red Snapper,William Merritt Chase,American,1849,1916
Still Life - Brass Kettle and Catfish,William Merritt Chase,American,1849,1916
"Two Princesses, Sophia and Amelia, Daughters of His Majesty, King George III",,,,
A Lord Mayor of London,,British,1735,1811
The Art Jury,Wayman Adams,American,1883,1959
Morning--Old Schofield&#039;s Mill,T.C. Steele,American,1847,1926
First Snow of Winter,C. C. Bohm,American,1894,1971
Portrait of Madame Fisher,Eugene Paul Ullman,American,1877,1953
Portrait of Dr. Charles G. McLean,Jacob Cox,American,1810,1892
Waiting and Mad,Charles Marion Russell,American,1864,1926
Francisco Martinez,Joseph Henry Sharp,American,1859,1953
Bethlehem,Lauren Ford,American,1891,1973
Mountain Man,Frederic Remington,American,1861,1909
The Electric Forest,David Alfaro Siqueiros,Mexican,1896,1974
Whitewater Rapids,William J. Forsyth,American,1854,1935
The Constitutional Elm,William J. Forsyth,American,1854,1935
Portrait of Sally Montgomery,Unknown,,,
Portrait of Hugh Montgomery,Unknown,,,
The Restless Sea,Edgar Alwin Payne,American,1883,1947
The Visitation,Anthony Joseph Lauck,American,1908,
In the Catskills,Clifton A. Wheeler,American,1883,1953
The Sycamores (Broad Ripple),John Washington Love,American,1850,1880
Temperance Pledge,John G. Dunn,American,1820,1858
Landscape near Indianapolis,Jacob Cox,American,1810,1892
Young German Girl (Gretchen?),Samuel G. Richards,American,1853,1893
Old Johnnie&#039;s Wife,Robert Henri,American,1865,1929
Portrait of the Artist&#039;s Wife,James F. Gookins,American,1840,1904
Portrait of Dr. Lewis D. Lyons,Barton Stone Hays,American,1826,1914
Oaks at Vernon,T.C. Steele,American,1847,1926
In the Parlor,,,,
Road in Early Spring,Charles Ephraim Burchfield,American,1893,1967
Politics in an Oyster House,,,,
Bust of President Benjamin Harrison,Adolph Alexander Weinman,American,1870,1952
The Bacidae,Sarah Paxton Ball Dodson,American,1847,1906
The Jade Bowl,Dines Carlsen,American,1901,1966
Portrait of Helen Miller (Mrs. Charles G. McLean),Rembrandt Peale,American,1778,1860
Indian Hunter with Dog,Paul Manship,American,1885,1966
Liberty Loan Parade,Arthur Clifton Goodwin,American,1864,1929
Untitled,Alexander Calder,American,1898,1976
Portrait of a Young Woman,Edward August Bell,American,1862,1953
The Moose Hunter,Charles Codman,,,
A Break: Playing Cards,Julian Scott,American,1846,1901
Portrait of a Young Woman,Gilbert Stuart,American,1755,1828
Venus Anadyomene,Paul Manship,American,1885,1966
An Anxious Mother,Percival De Luce,American,1847,1914
Untitled (The Birth),Jacob Lawrence,American,1917,2000
Afternoon Tea,Richard Emile Miller,American,1875,1943
"Rooftops, New York City",Edward F. Fisk,American,1886,1944
The Statuette,Edward August Bell,American,1862,1953
Blue Monday,Floyd D. Hopper,American,1909,1984
"The Park, Salem",Maurice Brazil Prendergast,American,1859,1934
Praying Angel,Robert W. Davidson,American,1904,1982
Thames Nocturne,James Abbott McNeill Whistler,American,1834,1903
EAST COAST U.S.A.,,,,
"Sketch, Hyannisport",Charles Webster Hawthorne,American,1872,1930
Eleanor,Lucy Martha Taggart,,,
Young Girls,Mary Cassatt,American,1845,1926
Hauptmann Must Die,Reginald Marsh,American,1898,1954
Indian Girl with Parrot and Hoop,Victor Higgins,American,1884,1949
Hotel Lobby,Edward Hopper,American,1882,1967
Farm Near Gordes #3,Paul Resika,American,1928,
Portrait of Marie Jane Andrew,Joseph R. Mason,American,1808,1842
Portrait Medallion,Janet Scudder,American,1873,1940
A Winter Morning,Frank T. Hutchens,American,1869,1937
"Barnes Cabin on Owl Creek, Brown County",John William Vawter,American,1871,1914
Diana,Edward F. McCartan,American,1879,1947
Zinnias and Leaves,Leota Williams Loop,American,1893,1961
Fisherman&#039;s Lore,George Jo Mess,American,1898,1962
The Young Mother,Bessie Potter Vonnoh,,,
Cyclop Man,,,,
Young Brittany Girl,Charles Sprague Pearce,American,1851,1914
Weathervane: Goddess of Liberty,Henry Leach,American,1809,1885
Untitled (Portrait of Two Women),Lucy Martha Taggart,,,
Portrait of Mary Ethell Gertrude Walker,John Ottis Adams,American,1851,1927
Women Dressing,William McGregor Paxton,American,1869,1941
Reclining Nude,David K. Rubins,American,1902,1985
Seascape,James Abbott McNeill Whistler,American,1834,1903
Seascape,James Abbott McNeill Whistler,American,1834,1903
The Elopement,Emery D. Horsky,American,1885,1964
Portrait Medallion (Mildred Barnes),Janet Scudder,American,1873,1940
Portrait Medallion (Alice Jones),Janet Scudder,American,1873,1940
Medal: Admission of Indiana to the Union,Janet Scudder,American,1873,1940
Marine,Frank Duveneck,American,1848,1919
General Lew Wallace,Stephen Seymour Thomas,American,1868,1956
Head of a Boy,John Washington Love,American,1850,1880
"Vista Terreno, Palm de Malloria",William J. Potter,American,1883,1964
Portrait of Ella Marvin,James Ormsbee Chapin,American,1887,1975
Landscape: The River,Willard LeRoy Metcalf,American,1858,1925
Farmyard Scene,Jacob Cox,American,1810,1892
Portrait of Amelia Studley,Joseph Easton,American,1829,1875
San Barnaba,Louis Bosa,American,1905,
Children&#039;s Heads,Mary Cassatt,American,1845,1926
Harp of Mystery,Adolph Robert Shulz,american,1869,1963
Mrs. Nathaniel Wales,,,,
Daybreak,Emanuel Glicen Romano,American,1897,1984
Marie and Baby,Robert Henri,American,1865,1929
"The Beach Scituate, Massachusetts",Thomas Buford Meteyard,American,1865,1928
"Summer Landscape Falls Village, Connecticut",Dines Carlsen,American,1901,1966
Buildings in Winter,Cecil F. Head,American,1906,
Unfinished Landscape (American Lake Scene at Sunset),Thomas Cole,American,1801,1848
Landscape,Alexander Helwig Wyant,American,1836,1892
Strawberries,Barton Stone Hays,American,1826,1914
Portrait of Eusebia Sewell,Barton Stone Hays,American,1826,1914
Portrait of William Sewell,Barton Stone Hays,American,1826,1914
Fairy Marauders,James F. Gookins,American,1840,1904
Across Silvery Waters,Frank V. Dudley,American,1868,1957
Hopi Courtship,William Robinson Leigh,,,
Dionysus,Paul Manship,American,1885,1966
Snow Leopard,Malvina Hoffman,American,1887,1966
Promenade,Alexander Archipenko,American,1887,1964
On the Pennypack,Russell Smith,,,
"Village of Schliersee, Highlands",T.C. Steele,American,1847,1926
On the Edge of the Wood at Twilight,John Elwood Bundy,American,1853,1933
The Red Maple,L. Clarence Ball,American,1858,1915
Cows,William J. Forsyth,American,1854,1935
Promenade,Guy Pène Du Bois,American,1884,1958
Nude Reaching,Isabel Bishop,American,1902,1988
The Big Brass Bowl,William Merritt Chase,American,1849,1916
Portrait of Catherine (Eddy) Beveridge - Lady Primrose Portrait,Cecilia Beaux,American,1855,1942
The Old Mills on the Somme,Walter Elmer Schofield,American,1867,1944
Seascape,C. C. Bohm,American,1894,1971
The Visitor,Katherine H. Wagenhals,American,1883,1966
Portrait of David Cox,,American,1778,1860
Golf Course Scene,Ruthven Byrum,American,,
Passing Shower,Louise D. Hibben,American,1895,1974
The Whistling Boy,Joseph Frank Currier,American,1843,1909
Head of Margot,Mary Cassatt,American,1845,1926
Provincetown Fisherman,Charles Webster Hawthorne,American,1872,1930
Bacchanal (The Four Seasons),Eugene Francis Savage,American,1883,1966
"Glow of Gold, Gleam of Pearl",William McGregor Paxton,American,1869,1941
Portrait of Charles Ballard as a Boy,Ivan Gregorovitch Olinsky,American,1878,1962
Still Life,Emil Carlsen,American,,
Winged Form,Will Henry Stevens,,,
Portrait of John Washington Love,Dewey Bates,American,1851,1899
